source_id,name,repo_url,homepage_url,source_categories,source_url,phase1_priority
agentic-community,Selenium Grid 4,https://github.com/SeleniumHQ/selenium,https://www.selenium.dev/documentation/grid/,Agentic/Search & Web Access,https://github.com/agentic-community/agentic-landscape,5
agentic-community,Unstructured,https://github.com/Unstructured-IO/unstructured,https://unstructured.io/,Agentic/RAG,https://github.com/agentic-community/agentic-landscape,2
agentic-community,Vocode,https://github.com/vocodedev/vocode-core,https://github.com/vocodedev/,Agentic/Voice Agents,https://github.com/agentic-community/agentic-landscape,5
agentic-community,W&B Weave,https://github.com/wandb/weave,https://wandb.ai/site/weave,Agentic/Observability,https://github.com/agentic-community/agentic-landscape,5
agentic-community,higress,https://github.com/alibaba/higress,https://higress.ai/,Agentic/LLM Gateway,https://github.com/agentic-community/agentic-landscape,5
agentic-community,kgateway,https://github.com/kgateway-dev/kgateway,https://kgateway.dev/,Agentic/LLM Gateway,https://github.com/agentic-community/agentic-landscape,5
agentic-community,llama.cpp,https://github.com/ggml-org/llama.cpp,https://github.com/ggml-org/llama.cpp,LLMs/Serving,https://github.com/agentic-community/agentic-landscape,5
agentic-community,txtai,https://github.com/neuml/txtai,https://neuml.github.io/txtai/,Agentic/RAG,https://github.com/agentic-community/agentic-landscape,2
antgroup,1Panel,https://github.com/1Panel-dev/1Panel,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,A2A,https://github.com/a2aproject/A2A,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,AReaL,https://github.com/areal-project/AReaL,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,AstrBot,https://github.com/AstrBotDevs/AstrBot,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,BentoML,https://github.com/bentoml/BentoML,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,CLIProxyAPI,https://github.com/router-for-me/CLIProxyAPI,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,ComfyUI,https://github.com/Comfy-Org/ComfyUI,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,CopilotKit,https://github.com/CopilotKit/CopilotKit,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,DB-GPT,https://github.com/eosphoros-ai/DB-GPT,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,DeepEP,https://github.com/deepseek-ai/DeepEP,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,FastChat,https://github.com/lm-sys/FastChat,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,FastGPT,https://github.com/labring/FastGPT,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,Flowise,https://github.com/FlowiseAI/Flowise,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,Gymnasium,https://github.com/Farama-Foundation/Gymnasium,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,Langchain-Chatchat,https://github.com/chatchat-space/Langchain-Chatchat,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,LibreChat,https://github.com/danny-avila/LibreChat,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,MaxKB,https://github.com/1Panel-dev/MaxKB,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,Mooncake,https://github.com/kvcache-ai/Mooncake,,,https://github.com/antgroup/agentic-ai-landscape,4
antgroup,NeMo,https://github.com/NVIDIA-NeMo/NeMo,,,https://github.com/antgroup/agentic-ai-landscape,4
